id,suite,task,substrate,variant,plasticity,budget,seed,status,measurement
2501a1c7654cefa94b12e5f2,drone,attitude,banc,real,adapters,5000,0,ready,unmeasured
c21499fb11a80f19baa71dc8,drone,attitude,banc,degree_rewired,adapters,5000,0,ready,unmeasured
4b0c44d80ee2c1fe61a99dda,drone,attitude,banc,community_rewired,adapters,5000,0,ready,unmeasured
faaa2511549be31df6ef6e2b,drone,attitude,banc,random,adapters,5000,0,ready,unmeasured
1489f1420f2340db4c1b3b0a,drone,attitude,banc,adapter_only,adapters,5000,0,ready,unmeasured
1a28bf09c993a7255a33378f,drone,attitude,banc,rnn,adapters,5000,0,ready,unmeasured
10460e3ae15cff63920c0d3c,drone,attitude,banc,gru,adapters,5000,0,ready,unmeasured
60d054df331c29cc9ab5b31f,drone,attitude,banc,real,joint,5000,0,ready,unmeasured
fe96da7d151d5c323de43b4a,drone,attitude,banc,degree_rewired,joint,5000,0,ready,unmeasured
4d88563f6c2593a8b900e3a3,drone,attitude,banc,community_rewired,joint,5000,0,ready,unmeasured
2b43faec00f608e555804016,drone,attitude,banc,random,joint,5000,0,ready,unmeasured
122560039ca502e57b13a675,drone,attitude,banc,adapter_only,joint,5000,0,ready,unmeasured
a67613eaebc01f16e5f984ea,drone,attitude,banc,rnn,joint,5000,0,ready,unmeasured
4b919de87daa80649676d6d0,drone,attitude,banc,gru,joint,5000,0,ready,unmeasured
7fcc3089e49674e4bd043586,drone,attitude,banc,real,adapters,5000,1,ready,unmeasured
2db9364dbef88dabb9af9234,drone,attitude,banc,degree_rewired,adapters,5000,1,ready,unmeasured
6b5ba4e506965e3bd304a77a,drone,attitude,banc,community_rewired,adapters,5000,1,ready,unmeasured
c330b776c8cd846b9ba5a070,drone,attitude,banc,random,adapters,5000,1,ready,unmeasured
0d87c0896890e9154a971ec0,drone,attitude,banc,adapter_only,adapters,5000,1,ready,unmeasured
18489f4595f8830223325b61,drone,attitude,banc,rnn,adapters,5000,1,ready,unmeasured
f2f54807d37c53f72bec5cd1,drone,attitude,banc,gru,adapters,5000,1,ready,unmeasured
